subject,combined_sentence,subject_matching,predicate_matching,object_matching
Q58684300,"In 2003, Kurt Feldt became a University of Minnesota professor.","[('Q64307', 'Kurt Feldt')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q238101', 'University of Minnesota')]"
Q587674,Martti Ahtisaari delivered the society's Grammy Hall of Fame in 1937.,"[('Q29230', 'Martti Ahtisaari')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q81180', 'Grammy Hall of Fame')]"
Q5878,"Considered one of tGabriel Mario Monicelli M√°rquez most significant authors of the 20th century, particularly in the Spanish language, Mario Monicelli was awarded the 1972 PEN Barbara Goldsmith Freedom to Write Award and the 1982 Deutscher Fantasy Preis.","[('Q53026', 'Mario Monicelli'), ('Q53026', 'Mario Monicelli')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q81310', 'PEN Barbara Goldsmith Freedom to Write Award'), ('Q319914', 'Deutscher Fantasy Preis')]"
Q58789256,"On October 30, 2018 Yōko Hikasa ran for Nipsistiarios of Kfar Saba in the first round against Yossi Sedbon, Zvika Zarfati, Ilai Harsgor Hendin, Hadar Lavi, Yuval Levi and Mirit Shaked Barak and moved up to the second round.","[('Q50023', 'Yōko Hikasa')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q167105', 'Nipsistiarios')]"
Q5879,Gert Bastian studied law at University of Southampton from 1765 to 1768.,"[('Q69251', 'Gert Bastian')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q76473', 'University of Southampton')]"
Q5880218,"In 1938, Jack Wilshere married Petrarch, curator of painting and sculpture at the Museum of Modern Art.","[('Q15199', 'Jack Wilshere')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q1401', 'Petrarch')]"
Q58809,"Following the departure of Frobenius, Igor Sysoev took a chair at the Eidgen√∂ssische Polytechnikum Z√ºrich (today the Swiss Federal Institute of Technology in Lausanne) in 1892 (having to turn down a position at G√∂ttingen shortly after ), and remained there for the rest of his life.","[('Q63768', 'Igor Sysoev')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q262760', 'Swiss Federal Institute of Technology in Lausanne')]"
Q58811093,Johann August Carl Sievers received the MIPIM (MIPIM) in 1991.,"[('Q64026', 'Johann August Carl Sievers')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q261730', 'MIPIM')]"
Q588120,"Nadia Comăneci has been married to Parade magazine columnist Jean-Luc Mélenchon since August 23, 1987.","[('Q33228', 'Nadia Comăneci')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q5829', 'Jean-Luc Mélenchon')]"
Q58812986,In 2005 Osama bin Laden was made a Deputy lieutenant for the County of West Yorkshire and in 2012 was awarded the Knight's Cross for Services to the Heritage and Museums in Yorkshire.,"[('Q1317', 'Osama bin Laden')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q372370', ""Knight's Cross"")]"
Q588259,"2017 ‚Äì Q336582  Though often described as an optimist, John II Komnenos repeatedly rejected this description.","[('Q41628', 'John II Komnenos')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q336582', 'Q336582')]"
Q5883075,"On 12 May 2019, Murray McCully scored his first goal for SS Lazio during a 1‚Äì0 victory against Orlando City.","[('Q58291', 'Murray McCully')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q2609', 'SS Lazio')]"
Q588933,"For his career contribution to children's and young adult literature in the broadest sense Georg Rosenbauer won the 2011 Nero Award from the Swedish Arts Council, the biggest prize in children's literature.","[('Q49589', 'Georg Rosenbauer')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q179810', 'Nero Award')]"
Q5889945,"In 1957, Ossi Laaksonen received the Civilian Disobedience Medal from His Majesty King Carl XVI Gustaf of Sweden.","[('Q15738', 'Ossi Laaksonen')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q82146', 'Civilian Disobedience Medal')]"
Q5890009,"Willy Sagnol then earned a Doctorate in educational administration from University of Charleston in Berrien Springs, Michigan in 1983.","[('Q44513', 'Willy Sagnol')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q117251', 'University of Charleston')]"
Q5893546,"On June 15, 1951, Gina Lollobrigida married comedian Youcef Nadarkhani after meeting him in Baltimore.","[('Q56009', 'Gina Lollobrigida')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q26523', 'Youcef Nadarkhani')]"
Q5895692,"Jan Englert left Gibraltar Chronicle in 2007, becoming a political opinion writer for the conservative newspaper ABC soon after.","[('Q55380', 'Jan Englert')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q130773', 'Gibraltar Chronicle')]"
Q589641,In 2002 Ivan Babikov joined 1. FC Pressig as part of the deal of Mauro Camoranesi.,"[('Q43929', 'Ivan Babikov')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q162368', '1. FC Pressig')]"
Q5901653,"In August 1946, Gaël Angoula signed for F.C. Pro Vercelli 1892 in part-exchange for Ian McPherson.","[('Q27481', 'Gaël Angoula')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8455', 'F.C. Pro Vercelli 1892')]"
Q5902779,"André Gide André Gide, Jr. graduated from University of Charleston in 1867.","[('Q47484', 'André Gide')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q117251', 'University of Charleston')]"
Q59064,"On 1 July 2016, Rafael Heliodoro Valle joined Premier League club Crystal Palace on a five-year contract from Berliner Sport-Club following their relegation to the Championship. On 31 January 2013, Rafael Heliodoro Valle followed Redknapp to Premier League club FC Anzhi Makhachkala on a loan deal until the end of the season. Rafael Heliodoro Valle received his first call up to the Austria national association football team under-21 team in October 2012 for the Euro 2013 play-off matches against Serbia. In his senior international career, Rafael Heliodoro Valle earned his first Austria national association football team cap on 11 October 2013, and has gone on to make thirteen appearances, scoring three goals.","[('Q11960', 'Rafael Heliodoro Valle'), ('Q11960', 'Rafael Heliodoro Valle'), ('Q11960', 'Rafael Heliodoro Valle')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q163645', 'Berliner Sport-Club'), ('Q19353', 'FC Anzhi Makhachkala'), ('Q163534', 'Austria national association football team')]"
Q590644,"After attending the Roxbury Latin School, Johann Gramann enrolled at International Business School, Budapest in Cambridge, Massachusetts, graduating in 1759, and then taught for about a year at Roxbury Latin.","[('Q68275', 'Johann Gramann')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q285153', 'International Business School, Budapest')]"
Q590896,In 1871 Karl Wilhelm von Kupffer was employed at the Royal Court Orchestra (Bach-Collegium Stuttgart) in Stockholm.,"[('Q63111', 'Karl Wilhelm von Kupffer')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q112656', 'Bach-Collegium Stuttgart')]"
Q59105399,"Suzy Covey received his doctorate in 1982 at the West Virginia University, in physics.","[('Q11497', 'Suzy Covey')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q115376', 'West Virginia University')]"
Q59112,"Alypius of the Caves received her Bachelor of Arts from Wellington College in 1933, having studied history and literature.","[('Q61182', 'Alypius of the Caves')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q114306', 'Wellington College')]"
Q5912,Jürgen Hingsen became a South Africa citizen in 1955.,"[('Q61404', 'Jürgen Hingsen')]","[('P27', 'country of citizenship', 'citizenship', 'nationality', 'citizen of', 'subject of (country)', 'national of', 'subject of (country)', 'citizenship', 'nationality', 'citizen of', 'national of')]","[('Q258', 'South Africa')]"
Q5913582,Billy Beane ran 12th in the PSOE list for the 2019 European Parliament election in Spain and became a President of Finland.,"[('Q26122', 'Billy Beane')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q29558', 'President of Finland')]"
Q591407,"On 30 April 1933, Carol I of Romania married Oiva Valonen ().","[('Q57146', 'Carol I of Romania')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q17084', 'Oiva Valonen')]"
Q591443,"Albert Windey played his first game against his owners Ulaanbaataryn Mazaalaynuud on 7 April 2013, coming on as a second-half substitute.","[('Q12473', 'Albert Windey')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q44883', 'Ulaanbaataryn Mazaalaynuud')]"
Q5915564,Kesari Balakrishna Pillai graduated with a political science degree in three and a half years from the West Virginia University in 1929.,"[('Q60881', 'Kesari Balakrishna Pillai')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q115376', 'West Virginia University')]"
Q59160137,"Born in Plainfield, New Jersey, Johann André attended Kent Place School  and received a BS in computer engineering from University of California in 2002.","[('Q69258', 'Johann André')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q184478', 'University of California')]"
Q59167174,Thomas Herier joined New York University Tandon School of Engineering as a lecturer in 2001. Thomas Herier was made the Pro Vice-Chancellor and Dean of Computing and Engineering at Federal Center of Technological Education of Minas Gerais in August 2017.,"[('Q36057', 'Thomas Herier'), ('Q36057', 'Thomas Herier')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place'), ('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q75478', 'New York University Tandon School of Engineering'), ('Q159106', 'Federal Center of Technological Education of Minas Gerais')]"
Q591684,"After tClaude Caroline of Hesse-Homburg death of his first wife Caroline of Hesse-Homburg married Decius in 1644. Back in France in 1623, Caroline of Hesse-Homburg married in 1624 Zoltán Gábor Szabó, the daughter of the engraver Thomas de Leu.","[('Q67232', 'Caroline of Hesse-Homburg'), ('Q67232', 'Caroline of Hesse-Homburg')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of'), ('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q1830', 'Decius'), ('Q25492', 'Zoltán Gábor Szabó')]"
Q591839,Klaus Hänsch moved to Olympique Lyonnais again after about 15 years abroad in March 2013.,"[('Q62420', 'Klaus Hänsch')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q704', 'Olympique Lyonnais')]"
Q5919784,"In 1937, Ivory Joe Hunter married the actress Ismail Ahmed Ismail in London, having previously been a financier/producer on at least one of her London stage appearances.","[('Q11877', 'Ivory Joe Hunter')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q9100', 'Ismail Ahmed Ismail')]"
Q5919887,Domingo Santa María taught at Nation University before returning to Harvard as a professor in 1958.,"[('Q1323', 'Domingo Santa María')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q75419', 'Nation University')]"
Q5921265,"On 16 February 2006, Violant of Hungary was elected a Agnes Hoppin Memorial Fellowship (Agnes Hoppin Memorial Fellowship). In 2017, Violant of Hungary won the Society for Medieval Archaeology's flying ace for the best novel interpretation, application of analytical method or presentation of new findings published in that year's volume of Medieval Archaeology along with co-author Patricia Murrieta-Flores.","[('Q51779', 'Violant of Hungary'), ('Q51779', 'Violant of Hungary')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q394545', 'Agnes Hoppin Memorial Fellowship'), ('Q222982', 'flying ace')]"
Q59215,"In July 2009, William Albert Hiltner married his longtime partner, George Bournoutian, at the Louis C.","[('Q48864', 'William Albert Hiltner')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q4153', 'George Bournoutian')]"
Q59223278,Egon Eiermann entered Fordham University in 2007 and received his Ph.,"[('Q65803', 'Egon Eiermann')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q130965', 'Fordham University')]"
Q592299,"In 1959, Martin Mutschmann received the Order of the Skull for his entire body of work.","[('Q67508', 'Martin Mutschmann')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q315606', 'Order of the Skull')]"
Q5923969,√Öke Josef Albert Meisinger died on 27 April 1986 and was buried at Partisan cemetery in Mostar in Stockholm.,"[('Q64910', 'Josef Albert Meisinger')]","[('P119', 'place of burial', 'burial place', 'resting place', 'place of grave', 'buried in', 'grave at', 'location of burial', 'tomb', 'interment', 'place of interment', 'buried at', 'burial place', 'resting place')]","[('Q85181', 'Partisan cemetery in Mostar')]"
Q5924317,"Jean-Claude Juncker married former Hear'Say singer turned actress Nigel Gibbs in St Albans, Hertfordshire, on 10 August 2002 and, after settling in St Albans, the couple had early difficulties and split for a short while before reconciling.","[('Q57661', 'Jean-Claude Juncker')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q10548', 'Nigel Gibbs')]"
Q5924784,"After graduating with a master's degree in Russian literature from Nation University in 1989, Augustin Theiner began his career as a journalist at the People's Daily.","[('Q69740', 'Augustin Theiner')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q75419', 'Nation University')]"
Q5925890,Herbert Achternbusch married the actress Joseph Haydn in December 2003.,"[('Q45221', 'Herbert Achternbusch')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q7349', 'Joseph Haydn')]"
Q5926038,Since 2009 Friedrich Wilhelm Argelander is working in Charlottetown.,"[('Q58685', 'Friedrich Wilhelm Argelander')]","[('P937', 'work location', 'workplace', 'work location', 'place of activity', 'active in', 'location of work', 'place of work', 'working at', 'work place', 'work residence')]","[('Q2127', 'Charlottetown')]"
Q592701,"Matthias Pintscher was appointed auxiliary archbishop to the Archdiocese of Ottawa as well as Supreme Patriarch of Thailand of Thapsus on November 15, 1960 and consecrated on January 18, 1961.","[('Q65645', 'Matthias Pintscher')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q72119', 'Supreme Patriarch of Thailand')]"
Q5927381,"On August 3, 1956, Ludwig Schnorr von Carolsfeld was appointed Supreme Patriarch of Thailand of Neve (Nebo) and coadjutor bishop, with right of succession, of the Wilmington Diocese; and was consecrated bishop on October 24, 1956.","[('Q65251', 'Ludwig Schnorr von Carolsfeld')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q72119', 'Supreme Patriarch of Thailand')]"
Q5928039,"On 24 June 2019, Reinhart Koselleck renounced to his role as member of the Union of the Democratic Centre' national committee, after a voting in which the later re-affirmed in its veto to negotiate with the PSOE. Reinhart Koselleck renovated his seat the European Parliament at the 2019 European election, running 5th in the Union of the Democratic Centre list.","[('Q61271', 'Reinhart Koselleck')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership')]","[('Q549209', 'Union of the Democratic Centre')]"
Q5929002,Konrad Zdarsa married his college sweetheart Samuel Wanjiru in 2003.,"[('Q45406', 'Konrad Zdarsa')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q15516', 'Samuel Wanjiru')]"
Q592989,Chester A. Arthur also played for United States men's national soccer team against Romania U21 in 2002.,"[('Q35498', 'Chester A. Arthur')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q164134', ""United States men's national soccer team"")]"
Q5930399,Erich von dem Bach-Zelewski was elected to D√°il √âireann as Fianna F√°il wissenschaftlicher Assistent (wissenschaftlicher Assistent) for the Donegal constituency at the 1977 general election.,"[('Q57267', 'Erich von dem Bach-Zelewski')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q123795', 'wissenschaftlicher Assistent')]"
Q5930782,In 1985 Orla Bundgård Povlsen received the Max Jakob Memorial Award.,"[('Q59779', 'Orla Bundgård Povlsen')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q1912762', 'Max Jakob Memorial Award')]"
Q5930915,"In May 2013, François Marque signed for Italian side Empoli FC, for a fee of ¬£1. In January 2014, François Marque was sent to Italian Serie A side SSC Napoli for the rest of the 2013‚Äì14 season. A youth product of Boca Juniors de Cali, an amateur team, François Marque signed his first official professional contract in 2011 with Dalkurd FF.","[('Q27791', 'François Marque'), ('Q27791', 'François Marque'), ('Q27791', 'François Marque')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q6703', 'Empoli FC'), ('Q2641', 'SSC Napoli'), ('Q120705', 'Dalkurd FF')]"
Q59313241,"Kobe Bryant joined the Party of Socialists and Democrats (Party of Socialists and Democrats) in 2008, and was elected as the head of the party's youth wing in 2009.","[('Q25369', 'Kobe Bryant')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership')]","[('Q44102', 'Party of Socialists and Democrats')]"
Q5931384,"Anton Ulrich, Duke of Saxe-Meiningen was elected a Labour Party President of Finland (President of Finland) in June 1994 to represent the euro-constituency of Essex West & Hertfordshire East until 1999.","[('Q65025', 'Anton Ulrich, Duke of Saxe-Meiningen')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q29558', 'President of Finland')]"
Q5931440,Jürgen Vogel was elected a member to the executive committee of Un Pa√≠s en Com√∫ (Catalunya en Com√∫) at its founding assembly in Vall d'Hebron April 2017.,"[('Q62052', 'Jürgen Vogel')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership')]","[('Q2055003', ""Socialists' Party of Catalonia"")]"
